"","Assay","IL8","VEGFA...3","CD8A","MCP-3","GDNF","CDCP1","CD244","IL7","OPG","LAP TGF-beta-1","uPA","IL6...13","IL-17C","MCP-1","IL-17A","CXCL11","AXIN1","TRAIL...19","IL-20RA","CXCL9","CST5","IL-2RB","IL-1 alpha","OSM","IL2","CXCL1","TSLP","CCL4","CD6","SCF...31","IL18","SLAMF1","TGF-alpha...34","MCP-4","CCL11","TNFSF14","FGF-23","IL-10RA","FGF-5","MMP-1","LIF-R","FGF-21","CCL19","IL-15RA","IL-10RB","IL-22 RA1","IL-18R1","PD-L1","Beta-NGF","CXCL5","TRANCE","HGF...53","IL-12B","IL-24","IL13","ARTN","MMP-10","IL10","TNF","CCL23","CD5","CCL3","Flt3L","CXCL6","CXCL10","4E-BP1","IL-20","SIRT2","CCL28","DNER","EN-RAGE","CD40","IL33","IFN-gamma","FGF-19","IL4","LIF","NRTN","MCP-2","CASP-8","CCL25","CX3CL1","TNFRSF9","NT-3","TWEAK","CCL20","ST1A1","STAMBP","IL5","ADA","TNFB","CSF-1","TXLNA","VEGFA...95","CPE","KLK13","CEACAM1","MSLN","TNFSF13","EGF","TNFRSF6B","SYND1","TGFR-2","IL6...105","CD48","SCAMP3","LY9","IFN-gamma-R1","ITGAV","TRAIL...111","hK11","GPC1","TFPI-2","hK8","VEGFR-2","LYPD3","PODXL","S100A4","IGF1R","ERBB2","ERBB3","SCF...123","SPARC","GZMH","TGF-alpha...126","FURIN","CYR61","hK14","FADD","MetAP 2","PVRL4","FASLG","EPHA2","ITGB5","Gal-1","SEZ6L","GPNMB","CAIX","MIA","CTSV","CD27","XPNPEP2","ERBB4","HGF...145","ADAM 8","5'-NT","CDKN1A","DLL1","MK","ABL1","FGF-BP1","TLR3","LYN","RET","VIM","TNFRSF19","CRNN","TCL1A","CD160","TNFRSF4","MIC-A/B","WISP-1","CXL17","PPY","S100A11","AREG","ESM-1","CD207","ICOSLG","WFDC2","CXCL13","MAD homolog 5","ADAM-TS 15","CD70","RSPO3","FR-gamma","CEACAM5","VEGFR-3","MUC-16","WIF-1","GZMB","FCRLB","ANXA1","FR-alpha"
"1","RL_SARS_PLAS_1.1",6.36295,11.62087,9.07148,6.60091,1.63684,4.74332,7.25742,3.21953,10.9942,7.71024,10.11506,8.20719,3.30525,11.64389,0.83685,10.78797,6.65282,8.11689,0.85371,8.56378,7.23937,0.48845,-1.12444,4.96645,0.5767,10.83783,-0.22505,6.25032,5.49546,9.24582,10.39032,2.53499,2.68108,14.56386,7.76175,5.84512,1.40995,0.65074,0.81834,15.50036,4.64148,4.39786,8.61825,1.42603,6.33554,2.08026,10.48668,8.35709,-0.13734,11.60379,3.47158,11.8653,5.59622,0.69729,0.24177,0.85812,8.62829,3.14215,3.39746,11.10544,5.96933,6.48861,8.1018,8.93833,12.38141,10.38816,0.51549,7.91206,2.93618,8.79128,6.43009,13.95434,0.80037,7.17948,7.45657,-0.5489,0.16734,1.18604,10.19315,6.11589,5.69599,5.19763,6.03056,1.54745,9.1071,7.55134,6.66174,8.74574,0.89878,6.88787,4.23758,10.26523,8.75036,9.17945,4.61388,2.16619,10.4369,5.45572,9.0333,10.13347,6.46086,10.26438,5.94812,8.70046,8.41947,7.46767,7.57388,7.22663,4.10779,8.41402,6.99363,5.87319,10.94119,5.27864,6.98669,5.07716,4.82915,8.61733,5.5765,6.85377,9.79789,8.2227,9.02536,5.75241,3.1941,9.65772,5.48879,4.861,6.43163,8.65613,5.13775,9.75693,3.49412,10.94309,6.37146,5.47088,6.23747,4.33096,10.78278,6.39392,9.15575,6.78921,9.77984,12.15176,7.09576,11.89958,7.4662,11.53164,6.60615,7.51334,10.55764,6.49908,4.87437,3.40197,3.46563,6.37457,3.81182,5.04471,4.22127,4.01634,1.56206,7.95738,7.3699,11.49161,5.68394,4.92826,12.33793,1.52669,5.77899,9.01477,9.62573,4.8705,3.25581,5.91376,6.16347,8.30087,3.38134,7.58279,4.36464,3.15036,3.17048,2.62585,4.96673,9.21085
"2","RL_SARS_PLAS_1.3",5.89732,11.66855,9.49065,5.60996,2.06446,4.59919,7.68079,3.65862,10.49203,8.40059,10.14637,6.23505,3.29645,11.1287,0.91919,11.14485,6.89993,8.38113,0.58332,8.52044,8.44895,0.17472,-1.27707,5.5546,0.55914,11.11183,0.34094,6.16176,5.75046,9.53374,10.3661,2.89306,2.58832,15.04551,8.35656,6.20144,1.37724,0.91375,0.77911,15.83242,4.73403,4.3265,8.52224,1.45403,6.57535,2.93652,10.67205,8.35301,0.04311,12.39897,4.36698,11.17524,5.08208,0.26058,0.33602,0.60184,8.94137,2.8982,3.17751,10.3712,6.21228,6.43017,9.11051,9.42029,12.16016,10.74297,0.45905,8.17029,2.8654,9.11292,6.712,14.08392,0.48203,6.46197,7.58324,-0.69603,-0.22539,1.01795,10.04869,6.36108,6.18183,5.40639,6.33797,1.53932,8.88518,7.32264,6.99961,8.92252,0.84019,7.01124,4.40198,10.44962,8.95456,9.29929,4.79122,2.36648,10.45194,5.87983,9.25084,10.80813,6.4822,10.47023,6.02681,6.76163,8.29568,7.96098,7.76912,7.38073,4.33574,8.67663,7.04596,5.82251,10.06854,5.67383,7.17245,5.388,5.0114,8.91918,5.89978,7.02577,9.8995,8.5198,9.09006,5.40078,3.11015,9.89478,5.85115,5.19196,7.00863,8.83337,5.25662,9.89608,3.31423,11.01484,6.50132,5.73149,6.41556,4.32757,10.8725,6.46154,9.13971,7.04299,9.92576,11.3956,7.10941,12.02876,7.82423,11.56408,6.7138,7.63719,10.22045,6.62176,4.98726,3.35783,2.7455,6.61927,3.95941,5.1235,4.34468,4.44141,1.28419,7.57988,7.7893,11.79221,5.19653,4.45707,12.21371,1.32438,5.84279,8.93439,9.31971,4.90954,3.24414,5.20552,5.09249,8.20532,3.26395,7.64873,5.62982,3.01364,2.31527,2.3113,5.19329,9.52588
"3","RL_SARS_PLAS_1.5",5.34207,11.11497,9.50588,3.2888,1.44108,4.06173,7.11896,2.41522,10.20345,8.08958,9.93825,6.19648,3.00653,12.07079,0.86783,9.66149,6.06118,8.32672,0.59841,7.95234,8.34216,0.39839,-1.24157,5.90046,0.1399,10.13771,0.41902,6.2597,5.66426,9.39496,9.52466,1.77343,2.5352,14.91361,8.70231,5.43976,1.85389,0.75206,0.65935,15.3167,4.23339,5.08125,8.77487,0.94272,6.23412,1.8577,9.635,7.33137,0.00766,11.05701,5.10601,10.60424,5.57847,0.04235,0.00679,0.32458,9.01427,1.65663,2.7082,10.29705,6.36015,5.67315,9.31918,8.82132,11.15056,10.03184,0.28796,6.48823,2.58691,9.03425,6.53005,13.41073,0.59777,6.72608,8.21754,-0.63913,0.13269,1.25915,9.51683,5.58906,5.9253,4.83752,6.52258,1.25146,8.90585,6.85443,6.3461,7.63658,0.85743,6.43937,4.24474,10.12829,8.38215,9.11608,5.22003,3.03775,10.49353,6.7475,9.46317,10.31559,6.52256,10.31009,6.34373,7.24526,8.06847,7.25977,7.61001,7.37327,4.20966,9.02774,7.48733,5.66221,10.06461,7.0636,7.27399,5.52636,5.14249,8.91683,5.98824,7.14,9.83071,8.62323,9.24124,5.43941,3.70912,9.94503,6.15519,5.63742,5.88521,8.4098,5.70402,10.3381,3.39479,10.46119,6.36374,5.85776,6.62196,3.41944,11.40651,6.16917,8.59603,7.20162,10.01216,11.27596,7.01785,11.98198,7.1885,11.71308,6.81744,6.68617,10.82189,6.1603,5.05359,3.0083,2.66888,7.25256,4.22435,5.70691,5.19725,5.04494,0.911,7.33402,7.78698,10.59129,4.96315,3.95199,12.33128,1.93428,6.06963,8.83162,8.76626,4.87325,3.94609,4.94284,5.37522,8.06541,3.05176,7.71407,6.36904,3.22789,1.08012,1.98346,4.85478,9.81977
"4","RL_SARS_PLAS_2.1",9.56907,12.72771,9.11977,9.94888,3.08601,4.66364,7.9823,4.52568,12.29102,8.53559,10.49739,10.84642,5.54948,14.69065,2.33827,12.33161,7.90702,7.79068,1.20681,11.91029,7.62261,0.10068,0.71542,7.38978,0.58589,11.24609,1.23534,8.50722,4.96138,7.89291,10.11893,3.54367,4.7114,16.55978,8.64678,6.65885,1.80909,2.44968,1.48834,15.04262,4.68266,6.46205,12.59009,2.31471,7.10706,2.61662,9.85862,9.52913,0.01519,12.33972,4.0027,12.77673,4.72361,2.77503,0.23609,1.77321,10.15374,9.23335,4.44474,11.95527,6.5986,8.75845,9.00515,10.33383,13.77873,10.85479,0.58254,8.93485,5.33514,8.77691,7.64312,14.00169,0.95161,11.54221,8.77377,-0.87861,1.43205,0.70437,12.95296,7.4356,7.15328,6.39374,7.31121,1.42139,10.01048,10.40119,6.99984,9.40565,3.26259,7.26428,3.97052,10.69512,10.18675,10.48389,4.42887,4.02258,10.39395,6.62264,10.03879,11.61597,9.40399,10.36532,7.11535,11.67598,8.57244,8.62076,8.1816,7.72756,4.52336,8.07236,8.83196,6.84588,11.21995,6.81362,7.07313,5.31777,5.03783,8.71511,6.75533,7.20818,9.70361,7.03819,8.95617,5.92742,5.36719,10.30881,8.18706,5.24612,7.60135,8.73802,7.20212,9.43221,5.83382,11.14779,6.5593,5.92022,6.63956,3.96614,11.26775,4.90282,10.33271,7.81952,10.51733,13.31301,8.40627,9.05296,8.75345,12.41295,6.35568,8.993,10.11198,5.67506,4.66691,3.29581,3.90528,8.51005,5.33692,4.66409,3.83193,5.70262,1.93746,9.32909,8.89239,11.60428,6.85151,8.85373,12.69449,1.55837,5.74929,9.65454,10.9438,5.04278,4.50694,6.20181,9.75685,8.5187,7.59518,7.36452,6.30534,3.91314,3.40208,2.35985,8.13748,10.95574
"5","RL_SARS_PLAS_2.3",11.14791,13.34663,9.98756,10.9187,2.89799,5.66162,7.73245,4.79089,12.69018,8.80295,10.97204,12.17159,8.31519,14.21992,4.24619,13.02598,7.66066,7.8947,1.12693,11.51555,7.65021,0.04628,0.59617,9.02321,0.15099,12.16745,0.57588,10.49477,5.16957,7.93852,11.15244,3.47054,6.76282,17.62291,9.00044,6.89106,3.43623,2.34859,1.85518,15.38421,5.14348,7.04746,12.50068,2.71219,7.14992,2.23095,10.32835,9.32082,0.06187,12.55215,3.89502,12.67939,5.68927,3.11847,-0.03817,2.18753,10.78029,9.49431,6.07816,12.49339,6.76559,10.48842,9.41916,11.08495,13.66584,10.50182,0.6725,8.35033,5.81771,8.90601,7.52756,13.89183,1.16303,13.36513,8.60323,-2.77161,3.63397,0.65798,13.99974,7.09609,7.53427,6.8737,8.18321,2.04318,10.47233,13.13186,6.71823,8.82965,3.13612,7.16725,4.24309,10.5269,9.77788,10.74215,4.50538,4.57278,10.23712,6.63538,9.99008,11.0555,9.55143,10.21504,6.95192,12.54116,8.26888,8.14616,8.19871,7.58207,4.26486,7.78173,8.5204,6.92704,10.73091,6.54941,6.65242,5.19009,4.95635,8.61041,6.54322,6.81327,9.4574,6.75602,8.8478,5.67155,6.73164,10.21163,7.50111,4.68943,6.76648,8.30119,7.18412,9.34674,5.84993,10.63564,6.36166,6.18886,6.23343,3.69831,10.90072,4.2229,10.14177,7.31663,10.06861,12.93559,8.43574,8.68986,7.61608,12.3588,6.30626,8.19684,10.15107,5.20506,4.74405,2.96666,3.83162,8.65498,5.30034,3.37437,3.8871,5.54623,2.21655,9.44786,9.40335,9.56723,6.44619,7.98377,12.35786,0.47122,5.66455,9.47288,11.59496,4.75742,4.29988,6.00323,8.76412,8.46732,7.20626,7.20944,6.71375,3.55852,3.43889,2.50536,7.78224,10.97523
"6","RL_SARS_PLAS_2.5",8.51289,12.33316,8.80857,8.64624,2.57135,4.93314,6.0363,2.51129,12.32074,7.4473,10.13987,5.92154,6.49347,13.50287,2.11195,11.45402,6.05003,6.91278,1.21307,11.53495,7.06493,0.62229,0.52489,6.77372,1.125,9.69674,0.82218,7.97725,3.86132,7.17592,10.33955,2.98889,4.21036,14.77404,7.82157,5.28858,1.41033,1.65303,1.17732,15.26569,4.72518,6.27545,12.55477,2.14045,6.7088,2.37829,9.84989,8.87006,0.15307,9.40354,2.73519,12.19698,4.4227,2.4786,0.80419,1.60584,11.06918,8.26425,4.77106,12.24727,5.81024,8.27179,7.40514,8.75409,13.88998,9.60456,0.88709,5.94606,4.20843,8.05656,8.0397,13.83534,1.18047,9.6861,7.34913,-0.39667,0.95134,1.28245,10.56199,5.02375,7.55888,6.20323,7.63359,1.70784,7.96359,11.63336,6.23019,7.13017,2.31558,5.85033,3.254,10.55251,9.02884,10.16838,4.61109,5.40917,10.13407,6.57188,10.19582,9.3643,10.00947,10.27085,6.92189,6.85667,8.20918,7.61566,7.85717,7.77066,3.81865,7.5076,8.98599,7.13974,9.88582,6.02375,6.42939,4.92787,4.73565,8.58871,6.73329,6.48142,9.40457,6.40256,9.21131,5.13301,5.29438,9.71775,6.31767,4.84507,5.02813,7.99403,7.254,8.73275,5.5158,10.18514,6.43252,5.8589,6.34586,5.08883,11.11333,5.08756,10.11096,6.46869,9.69133,12.71693,8.18676,8.52456,6.61163,12.45295,6.4505,6.69535,11.06965,5.69847,4.89205,2.43363,4.33309,8.34486,6.02386,3.50915,3.76795,5.57985,2.27393,9.35498,9.38001,8.83761,5.75668,6.72869,12.39259,0.83066,5.56613,9.5888,12.34196,4.61308,4.55106,5.31455,8.191,8.01455,6.31844,6.88927,6.14254,3.61831,2.87977,2.70116,6.65467,10.75884
"7","RL_SARS_PLAS_3.1",6.32744,12.15748,10.31949,4.57656,3.59733,4.51653,7.52266,3.13873,10.88483,6.9114,10.46991,5.46863,2.87332,12.42288,1.95089,10.24946,6.75064,8.21199,0.55563,8.41954,6.90395,0.0905,-0.85442,6.60297,0.28894,11.18679,1.55232,6.80288,5.74504,8.47047,9.69833,2.38994,3.42477,15.12797,7.77043,6.47003,2.56219,0.73374,1.23931,16.23697,4.29441,6.61841,9.79044,1.09829,6.52498,1.42054,9.51069,8.32443,0.08984,11.84966,3.4233,11.71691,5.12992,0.81737,0.64628,0.68212,9.59536,1.87497,3.50449,11.39011,6.25615,6.4685,11.43891,9.24399,12.11726,10.30412,0.37204,8.09402,3.23105,8.80475,6.06461,13.5262,0.6849,7.97394,8.23121,-0.45065,0.44145,1.1447,8.03914,6.00288,5.06523,4.40437,7.13383,0.63108,8.85788,8.63217,6.77823,8.35166,0.48104,5.50144,4.17423,10.64613,9.04518,9.80504,4.60713,3.33375,10.30402,6.29925,9.16165,9.61683,6.49612,10.06492,6.26665,6.09595,8.19985,7.39017,7.72621,7.27293,3.86783,8.61922,6.87607,5.41774,10.54816,6.55612,6.94364,5.20747,4.81431,8.7458,5.753,7.08889,9.58226,7.46605,9.17028,5.62896,3.93483,10.56038,5.82281,4.59895,6.34734,8.47733,5.84086,10.42955,3.42676,10.4352,6.35716,6.08765,6.58123,4.05447,10.7793,4.80823,9.21866,6.59179,9.94798,11.98348,6.98571,9.33647,7.51371,11.87568,6.72568,6.98297,10.56244,4.8062,4.94871,2.58823,3.55286,7.17024,5.72304,7.5661,4.94882,4.52137,5.65496,7.47292,6.74304,9.92956,5.40112,4.71563,12.7881,1.61221,5.86532,9.13879,8.31302,4.84306,4.38858,4.95558,5.20549,8.25354,3.28321,7.60173,5.20223,3.38236,1.89046,0.72418,5.56765,10.07708
"8","RL_SARS_PLAS_3.3",6.05319,12.14435,9.97631,4.44961,3.61514,4.35511,7.88936,3.48933,10.47158,7.53996,10.47745,4.03056,1.9108,12.2648,1.79338,10.51153,6.95693,8.18548,0.45698,7.96959,7.10472,0.1866,-1.15333,6.12633,0.51932,11.45199,0.39407,6.75974,5.68876,8.52644,9.66982,2.37765,3.33207,15.45103,7.43819,6.25806,2.70009,0.88729,0.85283,16.30293,4.04111,7.28602,9.95532,1.08858,6.41099,1.77804,9.33772,8.38407,-0.06218,12.24508,4.06431,9.84167,5.46536,0.44954,0.35459,0.44837,9.27163,2.04295,3.30041,11.21594,6.41625,6.60141,10.90062,9.42872,12.04758,9.95985,0.0471,8.11943,3.31551,8.65585,5.82042,13.70756,0.53161,8.14857,7.43859,-0.50062,-0.01518,0.16819,8.14607,6.48873,4.67156,3.99373,7.06806,0.87599,8.33003,8.33916,6.90004,8.44205,0.26972,5.39815,4.18446,10.48144,8.71171,9.77296,4.61673,3.21246,10.23574,6.19336,9.12738,10.26082,6.08551,9.9246,6.18742,4.6062,7.97332,7.65817,7.84614,7.14025,3.86774,8.49445,6.92242,5.06092,9.45265,6.94803,6.96425,5.06563,4.66373,8.71632,5.55874,6.87605,9.42337,7.51954,8.83492,5.78654,3.81293,10.39557,5.08373,4.95613,6.59513,8.49554,5.65654,10.43335,3.1636,10.64654,6.18645,5.78242,6.36633,2.87967,11.02652,5.14733,9.242,6.48121,9.76317,10.05173,6.74333,9.6052,7.56997,11.62786,5.72334,7.59891,8.10825,4.76597,4.65397,2.66263,3.68225,7.09331,5.48558,6.88664,4.83525,4.57681,5.70874,7.21168,7.17918,7.61028,4.99555,4.08992,12.37847,1.72564,5.51781,8.96693,8.50226,4.75986,4.21011,4.70871,4.45596,8.11954,3.0926,7.5937,5.46184,3.64832,1.64171,0.5582,5.15687,9.9583
"9","RL_SARS_PLAS_3.5",5.18335,11.62929,9.78161,3.80406,3.62127,4.30125,7.10772,2.33964,10.24625,6.46717,10.31842,3.15425,2.48308,11.44846,1.58129,9.42026,5.84927,8.22172,0.30796,7.51579,7.21793,-0.2389,-1.60354,5.04981,-0.04567,10.55987,-0.28114,6.385,5.51421,8.5881,9.34136,2.09809,3.03679,14.36144,7.29968,5.40249,1.77579,0.70955,0.67281,16.02509,3.8851,7.11047,9.44689,0.63171,6.2435,1.55077,9.20012,7.30395,-0.23404,11.09383,4.80652,9.26152,5.58625,-0.1804,-0.34056,-0.17567,9.25473,1.08803,3.22599,10.98041,6.23774,6.42694,10.68221,8.30702,11.4463,9.50153,-0.15108,7.19178,2.36455,8.59755,5.60966,13.09273,-0.06988,7.42365,8.29788,-1.11524,-0.64756,-0.12426,7.52576,4.41833,4.75953,3.77585,6.89508,0.61363,8.17741,8.47121,6.14227,7.16875,0.37069,4.86021,4.0882,10.26843,8.26595,9.22531,4.54358,3.12582,10.15316,6.08617,8.97154,8.84403,5.89275,9.86736,6.17617,3.91872,7.95152,6.52295,7.81601,7.04282,3.51113,8.50802,6.91274,5.05624,9.02227,6.72411,6.86765,5.04007,4.57101,8.10589,5.28302,6.7804,9.34354,7.56193,8.97151,5.13871,3.61713,9.96423,4.61237,4.84686,5.02057,7.95278,5.76207,10.32321,3.2396,9.94429,6.03884,5.91886,6.46399,3.2876,11.01128,5.18954,9.05321,6.49055,9.65372,9.52306,6.63407,9.39478,6.82758,11.60951,5.13276,6.04641,7.85187,4.32758,5.00038,2.36361,2.96039,6.9093,5.39284,6.47365,4.8054,4.44562,5.66987,7.08873,7.09446,8.9019,4.75997,3.98788,12.18533,1.80271,5.48742,8.86882,8.16141,4.7829,4.21025,4.77913,3.96927,8.09663,3.02213,7.51609,5.6853,3.58794,1.18316,0.32598,4.5039,9.876
"10","RL_SARS_PLAS_4.1",6.9397,11.71128,9.81305,6.2543,2.06479,3.6813,7.28903,3.11192,11.90574,7.24252,9.94987,7.55674,3.09744,12.68095,1.68406,11.06676,7.70958,6.66492,0.47072,7.61035,6.28472,0.79921,-1.14847,6.45173,0.38688,11.40613,2.05626,6.49936,6.05235,7.98564,9.70441,2.00682,3.83356,14.63676,7.98607,5.28597,1.12087,0.55927,1.32507,15.84784,4.27457,5.52997,10.84757,1.01866,6.04351,1.81616,10.05277,9.02828,0.01606,11.50561,1.79474,12.32544,3.858,1.56849,0.51093,0.7985,9.97058,2.6838,2.59521,11.46408,6.50332,6.00421,7.58511,9.97044,13.23546,10.26776,0.3771,7.80049,2.67991,8.54653,7.79569,13.88498,0.66361,8.14923,9.37781,-0.77934,1.1713,1.16468,10.77385,6.07624,5.40848,4.04743,5.58875,1.33741,9.26771,9.21455,6.84199,8.39105,1.12688,7.36674,3.44654,10.45328,9.87376,9.61252,4.32814,2.31329,10.31913,5.35863,9.55737,8.84456,7.48905,9.94026,5.88669,8.44629,8.40184,8.05989,8.2807,7.0096,4.32996,7.12,6.49508,5.46387,10.50574,5.08372,6.90017,5.24771,4.81309,8.60007,5.93292,7.09096,9.41051,7.11023,8.94462,6.60808,4.65353,10.63597,7.21809,4.58558,6.38618,8.48933,5.50275,9.32552,4.13305,10.8375,6.37301,5.71743,6.28558,4.38424,10.40716,5.117,9.51815,7.732,10.45825,12.80805,7.39508,9.79672,7.26023,11.32082,6.72032,8.30453,11.3142,4.6031,5.00667,3.94451,3.80466,6.74294,3.65228,7.88234,2.93377,4.60334,5.89533,8.29921,6.55812,8.6874,6.42592,6.86503,12.67952,0.8283,5.19338,9.00391,10.48771,4.5565,3.77583,6.20245,6.44617,7.97401,4.93247,6.85449,7.15071,2.80537,3.49778,2.5322,6.95729,9.99633
"11","RL_SARS_PLAS_4.3",7.96847,11.88421,10.6078,7.38265,2.87107,4.46224,6.73071,2.21267,12.43136,6.73713,10.32887,8.33425,4.35188,14.09679,2.62782,11.00978,6.7171,6.96395,0.81743,10.36071,6.88997,0.65321,-1.15733,7.76242,0.86424,10.37455,2.40597,8.30484,6.52014,8.33007,10.35527,2.79311,4.25753,15.04363,8.01414,6.28355,1.2618,0.70226,1.46812,15.51976,4.70573,6.20696,11.7698,1.40478,6.58616,1.06028,10.38762,8.49553,-0.10035,9.54459,1.89236,12.8069,4.92646,2.58721,0.71264,1.23765,10.6251,3.79108,4.02111,12.13974,6.98152,7.48011,8.58122,8.96502,13.80958,10.09812,0.12664,6.42484,3.31616,8.73395,7.62924,13.58943,1.06692,9.46457,10.17558,-1.14045,1.38523,1.36092,10.76533,5.74221,5.95373,4.8996,6.31076,1.65012,9.62368,12.34122,6.08391,7.35961,0.89643,7.54757,4.38252,10.55452,8.73106,9.2347,4.50551,2.44327,10.24011,5.4588,9.6381,7.47947,8.02375,10.13599,6.05946,8.71801,8.43512,6.84577,8.36761,7.03115,4.09054,7.04775,6.68667,5.91495,10.46114,5.45181,6.85128,5.31653,4.7576,8.40805,5.57551,7.03242,9.40057,7.13034,8.87802,6.60107,4.6546,10.59319,6.7203,4.90224,4.66778,7.8325,5.85346,9.33793,4.45181,10.02077,6.28686,5.67276,6.24703,4.04026,10.64726,4.97293,9.80899,7.63025,10.25349,13.10702,7.70607,10.21133,6.51203,11.6177,6.63171,6.98143,11.02319,4.16274,5.03305,3.71281,3.97236,6.93924,3.34348,6.76943,3.17681,4.46401,5.96922,8.63693,7.12743,10.44478,6.60978,7.52636,12.60813,0.78026,5.27762,9.16018,10.539,4.55299,4.0526,6.4,6.83645,8.08626,4.83708,6.809,7.00677,2.67647,3.46817,2.82278,7.36735,9.98252
"12","RL_SARS_PLAS_4.5",8.6889,12.0887,9.78235,9.31398,2.74487,5.46049,5.84893,3.3473,11.77509,7.15328,10.61933,8.36187,5.08522,14.62152,2.86572,11.08687,5.75873,6.99763,0.5766,10.30178,6.43422,0.7178,-0.69999,9.43991,0.87836,9.46422,2.10919,7.6742,5.85887,7.58706,10.03009,3.29585,5.49823,16.01143,7.91775,6.71285,1.2694,0.50084,0.89384,15.59665,4.58809,5.55866,12.05016,1.45685,6.54262,1.71882,10.29404,8.09446,-0.2736,8.59246,1.65522,11.49441,4.08712,3.00777,1.2142,0.93991,10.66051,2.22457,3.78086,12.12219,6.383,7.50202,8.29399,8.51539,13.61499,10.22284,0.28851,5.51751,2.78334,8.35512,7.79797,13.21461,0.90374,9.27574,8.76988,-1.04247,1.34844,0.4032,11.46867,5.26402,5.64418,4.87631,6.01567,1.2395,7.47128,11.85299,5.40445,6.38454,0.74968,7.55075,3.47827,10.29,8.12237,9.45537,3.87096,2.94549,10.16183,5.41638,9.38269,7.70105,8.53032,10.15319,5.38138,8.52959,8.03248,5.70803,8.16611,6.9265,3.79185,6.74663,6.29943,5.2452,8.68802,4.55162,6.35886,5.19166,4.7067,8.60435,5.38928,6.34341,9.16369,6.11881,9.06174,6.36907,5.6882,10.29583,6.16417,4.84791,3.98922,7.35352,5.68194,8.32188,4.2878,9.13097,6.35214,5.29561,6.11974,3.31205,10.31807,4.27584,9.44959,6.66094,9.37904,11.39154,8.01956,9.11164,5.53384,11.5632,3.83203,5.85098,8.16319,3.63271,4.74775,2.78139,4.01064,6.23956,3.24602,5.72683,2.61171,4.3244,5.94296,8.93463,7.09436,10.89448,6.51678,7.39052,10.70551,0.71775,4.93952,9.17718,11.64489,4.05663,3.64462,5.12306,3.87391,7.58036,4.04622,6.53186,7.49426,1.97247,3.10541,3.41255,7.61344,9.55582
"13","RL_SARS_PLAS_4.7",8.34145,12.14333,9.27671,9.09691,2.63466,5.96975,6.15823,3.8473,11.98407,7.58518,10.5729,7.20096,3.62273,14.18005,2.34604,11.10779,6.65855,6.85348,0.67446,10.38637,6.26946,1.04605,-1.08834,9.18885,1.01403,10.31522,1.82654,6.91245,5.46277,7.08681,9.95792,3.08299,5.19503,15.71671,7.35188,6.0233,1.18796,0.57485,1.2178,15.79448,5.17202,5.64827,11.54527,1.43022,6.57154,2.14172,10.62185,8.74712,-0.16824,9.88538,1.75144,12.54335,3.15811,2.94787,1.20209,1.35863,10.66582,1.56855,3.01254,11.9024,6.22738,6.99035,7.89757,8.90873,13.69263,9.7821,1.0952,6.16178,2.97588,8.34103,8.20612,13.65305,1.21489,8.48994,9.23062,-0.25405,1.18142,1.28819,11.02351,5.41826,5.48354,5.26712,5.76339,1.35921,9.00983,10.34929,6.0941,7.00853,0.92855,7.35936,3.09528,10.37587,9.2865,9.85769,4.40213,3.47312,10.18202,5.59401,9.71917,9.62568,8.66651,10.31169,5.7578,7.95194,8.0882,7.25196,8.47007,7.25286,4.14347,7.11089,6.81638,6.41954,9.09435,4.91906,6.46337,5.56846,4.7785,8.52822,6.26283,6.68516,9.40013,6.14653,8.96139,6.88428,5.91037,10.27009,6.90613,4.47848,5.00763,7.82921,5.99765,8.1378,4.76635,10.35662,6.29351,5.91501,6.32167,4.79879,10.42909,4.87207,9.36103,6.64288,9.9478,12.99426,8.68795,8.86099,6.47167,11.66098,6.46739,6.96094,11.34585,4.44905,4.89083,3.29464,3.77316,6.58098,3.40674,5.21915,2.21833,4.69239,6.27346,9.22872,7.23817,10.14486,6.41683,7.42303,12.30357,0.51591,5.01782,9.27166,11.61113,4.59899,4.08182,5.39225,6.16311,7.78172,4.61812,6.73595,8.01402,2.53351,3.76686,3.40617,8.03129,10.04273
