Assay,IL8,VEGFA...3,CD8A,MCP-3,GDNF,CDCP1,CD244,IL7,OPG,LAP TGF-beta-1,uPA,IL6...13,IL-17C,MCP-1,IL-17A,CXCL11,AXIN1,TRAIL...19,IL-20RA,CXCL9,CST5,IL-2RB,IL-1 alpha,OSM,IL2,CXCL1,TSLP,CCL4,CD6,SCF...31,IL18,SLAMF1,TGF-alpha...34,MCP-4,CCL11,TNFSF14,FGF-23,IL-10RA,FGF-5,MMP-1,LIF-R,FGF-21,CCL19,IL-15RA,IL-10RB,IL-22 RA1,IL-18R1,PD-L1,Beta-NGF,CXCL5,TRANCE,HGF...53,IL-12B,IL-24,IL13,ARTN,MMP-10,IL10,TNF,CCL23,CD5,CCL3,Flt3L,CXCL6,CXCL10,4E-BP1,IL-20,SIRT2,CCL28,DNER,EN-RAGE,CD40,IL33,IFN-gamma,FGF-19,IL4,LIF,NRTN,MCP-2,CASP-8,CCL25,CX3CL1,TNFRSF9,NT-3,TWEAK,CCL20,ST1A1,STAMBP,IL5,ADA,TNFB,CSF-1,TXLNA,VEGFA...95,CPE,KLK13,CEACAM1,MSLN,TNFSF13,EGF,TNFRSF6B,SYND1,TGFR-2,IL6...105,CD48,SCAMP3,LY9,IFN-gamma-R1,ITGAV,TRAIL...111,hK11,GPC1,TFPI-2,hK8,VEGFR-2,LYPD3,PODXL,S100A4,IGF1R,ERBB2,ERBB3,SCF...123,SPARC,GZMH,TGF-alpha...126,FURIN,CYR61,hK14,FADD,MetAP 2,PVRL4,FASLG,EPHA2,ITGB5,Gal-1,SEZ6L,GPNMB,CAIX,MIA,CTSV,CD27,XPNPEP2,ERBB4,HGF...145,ADAM 8,5'-NT,CDKN1A,DLL1,MK,ABL1,FGF-BP1,TLR3,LYN,RET,VIM,TNFRSF19,CRNN,TCL1A,CD160,TNFRSF4,MIC-A/B,WISP-1,CXL17,PPY,S100A11,AREG,ESM-1,CD207,ICOSLG,WFDC2,CXCL13,MAD homolog 5,ADAM-TS 15,CD70,RSPO3,FR-gamma,CEACAM5,VEGFR-3,MUC-16,WIF-1,GZMB,FCRLB,ANXA1,FR-alpha
RL_SARS_PLAS_22.1,6.74111,11.98602,9.98616,3.5933,2.65908,4.74995,8.39334,3.8158,11.6135,8.51468,10.54267,4.26238,2.96319,11.788,1.94128,10.17993,8.33161,8.03766,1.07445,7.49848,7.9595,0.892,-0.84206,5.1438,1.29028,11.59864,0.69193,7.16453,5.85008,8.48765,9.59589,3.21462,2.9379,15.30882,8.0396,6.1393,2.00439,2.18858,1.50528,15.96412,4.15633,5.13044,9.99261,1.46855,6.20648,1.90468,9.79418,8.73066,0.05568,13.25669,3.8584,9.2358,6.52873,0.95717,0.37984,1.08088,10.06036,1.47219,3.28018,11.17985,6.19603,6.59095,9.32617,10.04936,11.02636,10.4019,0.87963,8.49468,2.7169,8.71537,5.44217,14.01108,1.32978,9.44428,8.95064,-0.67487,1.69366,1.31592,8.87255,6.0479,6.08091,3.9177,7.49376,1.6022,8.6787,9.30466,6.48787,9.41603,1.77492,6.21259,4.55146,10.32006,10.04713,9.51042,4.46373,3.60918,10.17086,6.35453,9.10984,10.47552,6.64419,9.67526,5.94661,4.62327,7.84863,8.07594,8.01952,6.96595,4.20398,8.15036,7.88872,5.09063,8.57463,6.80373,6.53054,4.6989,4.85419,8.68899,6.16891,7.05433,8.98129,7.29612,8.79807,6.32611,3.292,9.68334,6.37355,5.47295,6.96328,8.55982,5.98917,9.53703,3.38412,10.86549,6.02414,5.21832,6.7594,3.04432,10.70852,5.30857,8.86142,9.32419,9.9749,9.23275,7.01586,11.30355,8.91974,11.68145,4.86721,8.21383,6.38089,5.46815,4.49454,2.9509,3.07049,7.51695,4.22147,6.2495,4.68548,5.06809,6.19818,7.27371,8.11845,11.49484,4.51878,4.60373,10.94307,2.8383,5.49105,9.24949,8.97364,4.76717,3.30379,4.62424,4.16666,7.95625,3.81291,6.99928,6.70212,3.65782,0.42271,1.96413,4.64752,10.16564
RL_SARS_PLAS_22.3,6.09657,11.51026,9.96136,3.26946,2.22401,4.47526,7.58159,3.02788,11.48474,7.57294,10.25687,4.22357,2.82441,11.4516,1.77951,9.18422,6.76324,7.92203,0.53642,7.55855,8.13755,0.68406,-1.07075,4.58956,1.06229,11.30418,0.5392,6.32095,5.71889,8.51902,9.18088,2.91247,2.82735,14.54639,7.86455,5.29242,1.87426,2.12678,1.21211,15.44619,4.06822,4.98992,9.791,1.38619,6.13724,1.72387,9.50923,7.70366,-0.0983,12.55211,3.64683,8.849,6.50909,1.05845,0.47632,0.83362,9.89945,1.65845,3.12341,10.68322,6.23544,6.15381,9.16879,8.9874,11.06733,8.98801,0.73236,7.16264,2.55923,8.54771,5.50626,13.71139,1.09409,9.2984000000000009,7.31101,-0.60453,1.53467,1.12776,8.39227,5.23054,6.00099,3.94367,7.42322,1.55183,8.30985,8.77993,6.05737,7.78815,1.49406,5.73369,4.57954,10.19704,8.81949,9.09556,4.55009,3.75597,10.0539,6.19285,9.03392,10.2716,6.63797,9.57633,5.97819,4.70723,7.89923,7.20472,7.99339,6.87175,4.0012,8.24054,7.89965,5.28521,8.33593,7.05391,6.50871,4.71611,4.75919,8.51528,5.89468,7.02519,8.9336,7.40906,8.78457,6.19709,3.35029,9.30734,5.1498100000000004,5.5835,6.01258,8.1728,5.92373,9.60175,3.48308,10.35136,5.90673,5.39906,6.79787,2.77291,10.91302,5.465,8.79551,9.29608,9.94197,9.05611,7.04363,11.08187,7.21779,11.72186,4.66771,6.28431,6.63823,5.24698,4.74956,2.79468,2.67081,7.60872,4.63945,6.05983,4.99698,5.10647,6.19137,7.19105,7.9998,11.45445,4.57466,4.03857,11.19644,2.83973,5.55523,9.12843,8.77002,4.7517,3.2295,4.79773,4.1795,7.89465,3.90426,7.01711,6.52532,3.4846,0.39379,1.73319,4.06614,9.81356
RL_SARS_PLAS_23.1,5.74805,11.71565,11.09475,4.51082,1.77565,3.83692,7.27055,2.84928,10.17887,6.52834,9.85976,6.11233,3.74936,11.82786,2.26298,9.63394,5.96881,7.49644,1.13052,6.94905,5.73916,0.39669,-0.98894,5.04331,1.24832,10.55039,1.15589,5.71246,5.66295,7.67747,11.10709,2.26192,2.68485,14.24662,7.27319,5.99807,1.64815,1.31496,0.81925,13.52066,4.5497,3.68084,10.0408,1.08299,6.06197,1.50264,9.10664,6.9172,-0.01109,11.75871,4.03552,8.76286,7.65696,1.03812,1.0122,0.75409,8.8361,2.10988,3.17651,10.33509,6.68596,5.47598,7.68176,10.16868,13.36947,9.34659,0.71267,5.97801,2.06622,8.4045,4.02379,12.90048,1.01658,13.20172,8.24032,-0.96942,0.25914,0.74882,11.85946,3.76567,6.3095,4.51311,5.97316,2.134,8.25,8.81804,5.53471,6.79417,1.51652,5.4567,5.15638,10.46507,8.66074,9.3719,4.77175,2.00054,10.40542,3.20253,9.12176,9.65044,5.61969,7.14884,5.93117,6.67871,8.12774,5.89291,7.58418,6.5134,3.28434,7.73552,5.97742,4.24117,8.34154,5.89932,7.19848,5.22076,4.7226,7.97375,5.06929,6.78326,9.55914,6.60573,8.50698,5.23673,3.19006,10.33083,4.22846,5.49213,3.96465,7.28862,4.90336,11.15815,2.82071,9.77831,6.03763,5.09353,6.24571,2.99575,10.47032,5.75368,8.31534,7.28206,9.32838,9.00355,6.49194,9.3917,7.42006,12.06314,5.96336,6.72314,5.56629,5.55724,4.72695,2.094,3.3376,5.89836,3.96645,7.3193,4.51449,3.54762,4.82747,6.32371,5.6733,12.47559,4.58215,2.3668,11.7883,1.89372,4.93984,7.83638,8.61632,3.5521,3.07452,3.87518,3.96563,7.93877,1.53133,7.15695,4.88931,3.38801,2.74981,1.73205,3.73979,8.6537
RL_SARS_PLAS_23.3,5.18799,11.86537,10.25314,2.60705,1.55667,3.21597,7.60137,3.3884,10.11432,7.1119,9.94584,2.74344,2.91575,10.20066,1.13594,8.69323,7.04025,7.33733,2.97235,6.03918,5.42969,0.40011,-1.20914,4.23255,0.25443,10.64962,0.54659,5.4322,5.82991,7.07492,11.09974,2.57204,2.25418,14.46078,7.00488,5.46222,1.23445,1.38324,0.34546,14.1472,4.60627,2.8439,9.09844,0.98943,6.10697,2.47176,9.27748,7.4694,0.05187,12.12002,3.98101,8.76133,6.37666,0.07137,0.8228,0.64994,8.34251,0.54634,2.49875,10.17133,6.52703,4.97274,7.30273,10.53904,10.48447,10.17502,0.46154,6.95328,1.70834,8.50736,4.28055,13.42236,0.54262,6.68545,7.18247,-0.55144,-0.1233,0.51997,10.63227,3.98858,5.97327,3.9706,6.33514,1.75866,8.74045,7.30403,6.03101,7.68688,1.1289,5.71438,5.1133,10.03585,8.65984,9.29674,4.0828,2.14864,10.40816,4.12038,9.09957,10.09496,5.36266,8.1471,5.8068,3.38617,8.07005,6.63877,7.71036,6.79605,3.48406,7.66761,6.28448,4.38983,7.57653,5.71501,7.35713,5.46016,4.73578,8.24313,5.35639,6.87622,9.82372,6.03613,8.69608,5.03948,2.74218,9.92488,4.07688,4.86799,4.64786,7.9565,5.0135,11.03311,2.76831,10.2135,6.09125,5.36866,6.22188,3.94009,10.61703,6.48139,8.42421,7.32096,9.65072,8.91883,6.47533,9.42018,7.03073,11.71978,5.35688,6.74529,6.05009,5.99187,4.92396,2.27241,3.28476,5.82747,4.08781,7.18016,4.40712,3.81283,5.02145,6.44552,5.37226,10.72059,4.60846,2.70435,11.38372,1.60768,4.72926,7.92631,8.84052,3.76129,3.23918,4.86078,3.81946,7.64722,1.24639,7.25096,4.90288,3.19134,2.20623,1.45157,3.84592,8.60623
RL_SARS_PLAS_24.1,5.69888,11.96577,9.57269,4.97115,2.06916,3.00592,6.88361,2.83198,10.77351,7.48694,9.86473,4.3475,5.09902,11.7184,2.92347,9.76302,7.22192,8.50886,0.54523,9.38615,5.94169,0.13389,-1.45555,7.74358,0.19541,10.35017,0.76931,7.83335,5.81861,9.15006,10.70837,1.87644,4.59525,14.12845,8.29625,6.25153,1.81698,0.48823,0.79386,14.92087,4.47095,6.47367,9.92441,1.3761,5.85493,2.24695,9.83938,8.39322,-0.10208,10.54021,3.29435,10.36556,3.56878,0.95823,-0.28116,0.77213,9.4403,1.76611,3.14037,10.75115,6.66991,6.54109,8.48634,9.08546,12.95388,10.04096,-0.04001,6.99377,2.44027,8.88097,5.6631,13.66768,0.19104,8.2551,9.61898,-0.25096,-0.236,2.354,9.08727,5.50647,6.33724,4.01959,5.84011,1.65467,8.63465,10.11353,6.23428,8.15466,0.95111,6.4484,4.17968,10.18308,8.64146,9.35947,4.1571,3.85799,9.99946,4.75026,9.08618,9.75721,6.06175,9.28318,5.73561,4.70029,7.63077,6.92069,7.31029,7.02158,3.94603,8.48112,6.75515,5.31765,8.03859,6.60855,7.08154,4.58677,4.50152,8.60902,5.70562,6.55572,9.46302,7.92705,8.8689,4.78688,4.83986,9.61618,5.19669,5.17152,5.16377,8.24778,5.26515,9.786,3.42459,10.08726,5.93408,5.83732,6.08355,3.37333,11.09737,6.23457,8.52418,7.31897,9.6227,10.11523,6.87707,9.24268,6.26064,11.19181,4.81117,6.95802,7.67566,5.69162,5.10927,3.5825,2.85724,5.87421,5.54926,5.99472,4.09475,3.55705,4.88421,6.93615,5.84006,8.61889,5.9104,5.74422,11.04122,0.94589,5.29781,8.71428,8.37986,4.21138,3.33595,4.20299,3.86129,7.45479,2.01422,7.14208,4.11118,2.85588,1.48882,1.29955,5.68184,9.34494
RL_SARS_PLAS_24.3,4.79723,11.23542,8.6569,3.75672,1.69522,2.77802,6.36534,2.08061,9.98764,6.70315,9.45515,3.76492,3.56807,10.70185,1.74932,8.35811,6.56202,7.98841,0.66061,8.05247,5.90598,0.56182,-1.16712,6.60707,0.64056,9.11026,0.23367,6.58423,5.20368,9.05231,9.23068,2.0543,3.49052,13.5926,7.44549,5.31184,1.72527,0.81031,0.89574,14.22032,4.11496,7.58179,9.32835,1.17554,5.57626,1.88124,9.02096,8.10222,0.10823,8.95859,2.65035,9.3449,2.80256,1.07013,0.48266,0.82445,8.92225,1.45613,2.36958,10.27808,5.96144,5.47426,8.04692,7.97128,12.27334,8.94877,0.47191,5.60796,1.8375,8.57735,5.67849,13.12969,0.93938,6.93553,7.08684,-0.44419,0.61374,1.9486,8.24471,4.27384,5.61386,3.12713,5.61276,1.6934,7.94813,7.94771,6.02147,6.65476,1.178,5.91518,3.78544,10.08879,8.01783,9.09031,4.09301,4.5121,10.02876,5.23504,9.03565,8.19737,6.09547,9.32129,5.97079,4.64672,7.61476,6.68249,7.26558,7.08526,3.88326,8.39049,7.1979,5.43817,7.97386,7.45969,7.09543,4.77042,4.61236,8.38452,5.55782,6.67253,9.50741,8.0697,8.82214,4.55732,4.31942,9.35031,4.69643,5.58632,4.11875,7.89729,5.55285,9.7625,3.32213,9.88857,5.86296,5.82147,6.19962,3.08397,11.34023,6.25188,8.72795,7.36861,9.64345,9.70695,6.81138,9.12141,5.79891,11.24173,4.23176,6.15187,7.75999,5.39783,5.26273,3.32286,2.80996,6.06892,5.70138,6.31097,4.14227,3.56194,5.04017,7.0971,6.23259,7.79897,5.19099,5.23344,11.17679,0.92598,5.4385,8.82593,8.59059,4.43884,3.56522,4.21335,3.56868,7.38431,2.49116,7.27192,4.24381,3.05909,1.16982,1.23543,4.93103,9.52109
RL_SARS_PLAS_25.1,5.49635,12.05616,9.75056,2.50899,1.88067,2.70701,7.93206,3.45952,10.4015,7.73867,9.60875,2.91848,3.77359,11.67482,2.86088,10.24508,8.55425,7.76883,0.52366,7.15918,6.29225,0.24565,-0.90089,6.55156,0.84684,11.14426,4.67059,6.10117,4.87813,7.91552,9.23112,3.10391,2.77158,15.43212,9.04666,5.9744,2.24659,3.09534,0.89815,16.03919,3.74204,6.38342,10.34652,0.9129,6.02608,1.22988,8.26648,7.92241,0.01202,11.64394,3.28707,9.12857,6.48878,0.85124,0.46168,0.88772,8.96997,1.3461,2.60295,11.55412,6.05268,5.79566,8.98287,9.99241,10.34545,10.71281,0.48079,8.34479,2.71197,8.3921500000000009,4.70662,13.77996,0.8391,6.05728,9.0342,-0.32454,0.03415,0.5527,9.63811,4.97953,5.5065,3.01934,6.7414,1.84744,9.07742,7.66867,6.18539,9.4722,1.15795,5.95444,4.85543,10.04889,10.1038,9.55355,5.02181,2.31434,10.20286,2.91353,8.7369,10.21213,5.6063,9.60052,5.64821,3.57119,7.54794,7.56796,7.93487,6.71498,3.96852,8.02708,7.09314,4.32989,8.21723,7.17673,6.86042,4.02291,4.6977,7.84868,5.60151,6.42072,9.1042,6.75497,8.67268,5.93737,3.27665,9.60129,5.94214,5.36045,5.9597,8.46522,5.08273,10.02118,2.47347,10.637,6.07191,4.88094,6.15665,3.01222,11.24077,6.18502,8.53634,8.00563,9.30792,9.26303,6.72701,9.42283,8.51464,10.88895,5.50333,8.85896,6.72698,5.4569,4.776,3.2995,3.04505,6.64319,4.3473,2.95031,4.61581,4.45396,1.34192,6.42601,6.02249,9.97283,4.26067,2.60609,11.44829,2.62041,5.01587,7.98962,9.08215,5.04807,2.73019,3.51913,4.66023,7.91658,3.39286,7.33772,4.95746,3.04537,-0.19421,1.50822,4.46087,9.64929
RL_SARS_PLAS_25.3,5.40191,12.08813,9.99548,2.79375,1.8614,2.64793,7.93644,3.59851,10.44823,7.63567,9.29444,4.82493,2.62336,11.3394,2.0921,10.05403,7.84367,7.55634,0.44916,6.66303,6.03779,0.36806,-1.03757,6.99676,0.74255,11.17181,5.10022,6.03907,4.91104,8.13171,9.62342,2.59009,3.39091,15.12265,9.03392,6.21113,1.52614,3.03511,0.67668,16.06607,3.99343,6.7426,10.1097,0.62692,5.9372,1.60704,8.21107,7.95394,-0.01848,11.64877,3.38505,9.23518,6.25013,0.24288,0.03996,0.64314,8.52603,1.92297,2.33664,11.3293,6.02615,5.5084,8.81009,9.87201,9.56557,9.78779,0.08975,7.86625,2.38739,8.43375,5.06482,13.82276,0.60939,5.79733,7.84758,-0.35393,-0.00258,0.65723,9.52704,5.07499,5.65954,3.36301,6.51052,1.42458,9.12462,7.16617,6.59828,8.73192,0.88842,6.01811,4.88954,10.28276,9.23114,9.46976,4.66052,1.9403,10.10667,2.87091,8.81558,9.79292,4.83174,9.30189,5.343,5.17928,7.44176,7.52242,7.71308,6.54829,3.89963,7.59104,6.59909,4.10607,7.71077,7.15707,6.66813,4.03359,4.53705,7.96009,5.5573,6.24023,8.80937,6.81482,8.5466,5.64535,3.54336,9.55467,5.45618,4.54044,5.92259,8.32796,4.58837,9.61164,2.39108,10.651,5.83439,4.74426,6.17227,2.70131,10.62033,5.54423,8.15001,7.98798,9.03658,9.13776,6.55875,8.95504,7.42886,10.63804,4.89748,8.01343,6.53682,5.20803,4.63977,3.01421,2.89195,6.2421,4.08052,2.57432,4.42832,4.04292,1.24941,5.99721,5.58521,9.53566,4.9574,1.97808,10.94737,2.41972,5.04248,7.48999,8.53784,4.75276,2.43845,3.2885,4.07304,7.78048,3.26212,7.29272,4.78038,2.60849,-0.3218,1.32672,4.97934,9.43229
RL_SARS_PLAS_25.5,5.33818,11.78605,10.08396,2.58854,1.80727,2.86483,7.55954,2.8467,10.61963,7.40909,9.76272,3.85284,2.5346,11.63855,1.78446,9.50665,7.87066,7.66668,0.1985,7.19501,6.52525,0.08957,-1.24804,5.46992,0.45754,10.66545,5.23614,5.82292,5.05816,8.44132,9.20967,2.8019,2.73971,14.61465,9.02276,5.56655,1.80395,2.95759,0.62125,15.68982,3.99763,9.15751,10.32476,0.8526,6.09838,2.39397,8.19142,7.45439,-0.12698,10.85711,3.51501,9.0503,6.71103,0.01283,0.2277,0.64909,8.591,1.64342,2.55066,11.10324,6.14258,5.83361,9.17701,9.30158,9.86994,9.85747,0.17912,7.27155,2.29483,8.46983,4.83256,13.63511,0.3811,5.77493,7.86535,-0.43917,-0.13847,0.34273,9.3628,4.14688,5.88409,3.40974,6.89164,2.0576,8.95169,7.57573,5.74346,8.50167,0.78056,5.56176,4.86899,10.26467,8.95544,9.16216,4.59164,2.109,10.2131,3.17781,8.7451,9.50989,5.22189,9.28585,5.72593,4.48346,7.69684,6.97524,7.85139,6.75411,3.8774,7.78385,6.85951,4.50098,8.55585,7.08753,6.76836,4.23291,4.60297,7.51544,5.38479,6.53299,8.97741,7.29492,8.71942,5.255,3.20687,9.45622,5.36322,5.1017,4.99861,7.90808,5.03218,9.97603,2.67877,10.42921,5.71803,4.98316,6.40718,2.97658,11.17645,6.17972,8.51878,8.27755,9.31101,9.09675,6.59954,8.9693,6.79145,11.05875,4.7575,7.25207,6.85921,5.27482,5.05392,3.03794,2.30599,6.60762,4.34509,2.72891,4.77476,4.09918,1.06336,6.3408,5.89771,9.10271,4.6577,2.75089,11.27577,2.77005,5.0933,7.86462,8.76002,4.8285,2.87456,3.57724,4.37972,7.85199,3.39153,7.3416,5.31725,2.95797,-0.8726,1.50068,4.01946,9.16625
RL_SARS_PLAS_25.7,5.5569,11.42732,9.63595,2.41489,1.58419,2.38553,7.31864,2.50013,10.72326,6.99804,9.5676,3.00536,2.04155,12.10338,1.44342,9.34828,6.71505,7.7035,0.53525,6.95752,6.44617,0.59438,-1.1233900000000001,5.93558,0.61099,10.12629,4.49721,5.75059,4.85107,8.76267,8.68416,2.15662,3.18705,14.96252,8.72335,5.34213,1.68265,2.53817,0.63108,16.11734,3.87802,8.08108,9.61037,0.78049,5.9733,1.88275,7.74354,7.21075,-0.05316,10.2853,3.42042,8.71484,6.45583,0.01739,0.39432,0.39983,8.34269,1.36581,2.24143,10.75699,6.0403,5.46085,9.11135,8.81933,9.77995,9.63401,0.31312,6.71637,1.92557,8.25286,5.19186,13.24679,0.46906,5.64485,8.49316,-1.4165,-0.13662,0.32293,9.35215,3.91877,5.55706,2.9925,6.86913,2.29503,8.70386,7.11845,5.54699,7.70095,0.88406,5.16238,4.76999,9.92615,9.84199,9.50268,4.38693,2.53549,10.13452,3.02372,8.69637,9.92718,5.03376,8.92302,5.6782,3.76125,7.6413,6.93077,7.53198,6.79767,3.92859,7.97051,6.55671,4.57196,8.97166,6.92101,6.73831,3.95457,4.50021,7.72142,5.46466,6.51042,8.87037,7.60673,8.70923,5.17707,3.96452,9.51681,7.10243,5.50468,4.92541,7.95612,4.7643,9.75772,2.65806,10.31142,5.81894,4.82364,6.46092,2.56969,11.26366,5.8961,8.19179,8.35325,9.13662,9.00583,6.40522,9.1225,8.23867,11.16031,4.50921,8.9794,6.72948,5.20619,4.80448,2.79197,2.79988,6.58472,3.92128,3.92865,4.66613,4.1325,1.27915,6.48865,5.6618,9.01096,4.74109,2.37815,11.28333,2.67399,5.37678,7.81288,8.77056,4.80435,2.9307,3.20417,4.43912,7.72992,2.67554,7.32781,5.43212,3.00218,-0.76499,1.56761,3.8303,9.89966
RL_SARS_PLAS_26.3,5.45088,11.9371,10.75369,5.81018,1.95053,3.38216,6.2202,2.3322600000000002,11.98167,7.36828,9.9784,4.04753,2.93301,12.73385,0.77602,9.0131,7.00367,7.60386,0.3383,7.73487,8.49351,0.24506,-1.22475,6.63669,0.54808,10.30319,0.3962,6.72363,4.91414,8.98817,9.03625,1.03486,3.98904,16.0476,9.05966,5.65198,3.29143,0.4383,1.44137,14.32834,4.44079,3.38889,8.92467,1.26888,6.40969,2.52141,9.78866,8.32848,-0.09344,10.87428,1.71145,11.1056,2.63503,-0.22016,0.43662,0.94256,9.42991,2.15507,3.17333,11.25439,6.17482,7.17621,8.23883,9.02459,11.90085,9.81943,0.93449,6.42628,3.31891,8.55713,6.10616,13.76642,0.95263,6.52465,7.54318,-0.47662,-0.28603,0.38042,8.20909,4.67204,8.02472,4.91541,5.4255,2.36994,8.88389,7.45177,6.19419,7.47133,0.36524,5.53302,3.41224,10.40852,8.32878,9.30549,3.94298,3.12308,9.53066,5.77672,9.59391,8.29365,6.284,9.9359,6.12483,4.57617,6.78174,6.64518,6.54993,7.26447,3.99092,7.77465,7.4917,6.13603,10.3974,5.63638,6.86098,4.72729,4.98942,8.22224,5.8471,6.80351,9.6685,7.85692,8.77972,5.02863,4.32134,9.4218,5.24966,4.62544,4.49431,8.04235,6.10376,8.18646,3.64713,10.01258,6.16156,6.16374,6.0317,2.98103,11.08327,5.52822,8.38922,8.08509,9.56706,11.10261,6.55492,9.15717,6.70824,11.41113,6.59438,6.78927,11.48107,4.00451,5.2302,2.4739,2.18181,7.43716,4.73301,2.43653,4.06565,3.28477,5.15142,7.91975,6.9272,10.01318,5.53538,4.77545,12.38915,0.70163,5.4749,9.47723,11.65226,4.36227,3.6374,3.50547,5.9573,6.85367,4.32167,7.07608,6.4435,3.27246,-0.18363,2.23407,4.91958,10.83524
RL_SARS_PLAS_26.5,6.19501,12.17403,10.58408,4.40919,1.96639,3.60552,7.02853,3.412,11.94766,7.90721,10.17653,5.37782,3.64313,12.94079,0.52956,10.00702,7.99631,7.87487,0.99871,9.03893,8.77029,0.34539,-1.31728,5.37195,-0.17332,11.44605,0.15316,7.3382,5.01441,9.57076,9.10255,1.3169,3.50343,16.68823,8.64746,5.90535,4.17041,0.47063,1.48945,14.79295,3.78628,7.98775,9.5737,1.52289,6.61992,1.96036,9.48917,8.8418,0.01706,13.00218,2.76043,11.89589,4.77513,1.07717,0.21585,0.73042,9.93741,1.74861,3.91135,11.06576,6.24616,7.50031,11.18819,10.40227,11.15141,10.05686,0.73987,7.7274,4.00808,8.46245,5.64651,14.03928,0.5257,8.86406,9.1501,-0.22614,0.03392,0.49925,8.65554,5.30562,7.88913,4.36772,6.38342,1.74295,9.38435,7.79407,6.83697,8.78783,0.52486,5.53247,3.50701,10.62969,9.81886,9.69511,4.35675,3.33694,9.3648,5.6488,9.32221,9.91023,6.61797,9.81789,6.31032,5.85398,6.93957,7.72731,6.51752,7.27193,4.08856,8.11272,7.91521,5.93785,11.3622,6.34506,6.56577,4.59354,4.84166,8.68448,6.27464,6.60429,9.38576,8.41166,8.98118,5.58943,3.80873,9.8269,5.94812,5.32038,5.98492,8.54909,6.30178,9.35301,3.49257,10.70439,6.37012,6.15168,6.05581,2.99757,11.40869,5.04899,8.3163,7.92588,9.44703,12.02565,6.73223,9.61925,9.1705,11.71534,6.44812,8.73081,11.10221,3.76485,4.4948,2.69352,3.17953,7.94381,4.65371,1.43204,4.78014,4.2248,5.1969900000000004,7.62034,7.23172,9.3917,4.46234,4.30039,12.81145,2.00651,5.3536,9.49995,11.0329,4.74779,4.34008,3.73941,7.17781,7.24312,3.76746,7.27302,6.45776,3.6543,-0.01575,1.79919,4.84435,11.66561
RL_SARS_PLAS_27.1,6.5412,12.26757,9.36599,6.27696,2.59869,4.24085,7.82965,3.73101,10.94532,6.94719,9.82518,7.1855,5.42569,12.98278,3.25169,10.23844,8.08037,7.11636,0.81331,8.45116,6.52881,0.71309,-0.94833,5.76125,1.13319,12.11812,0.81833,7.27224,4.88951,8.84145,9.64793,2.71135,2.81202,15.49568,7.76796,6.2468,3.29406,1.52164,1.22326,15.90357,4.13451,5.93453,10.17126,1.24813,6.14826,2.22281,9.10994,9.0445,-0.01362,12.84442,2.85605,9.3878,5.08999,1.52118,0.51537,0.8821,8.69008,1.82837,3.37323,10.67605,5.993,6.84349,8.71325,9.37899,12.13856,9.84737,0.63274,8.1091,2.69599,8.14578,6.13321,13.94135,1.07562,7.47539,9.27301,-0.40838,0.52375,0.64862,9.63768,5.51903,6.79743,4.12638,6.10694,2.09123,7.98051,10.03563,6.96708,8.7264,2.0677,7.43049,4.22165,10.19176,9.88916,10.14703,4.14495,4.04955,10.17326,5.54895,8.7179,9.38477,6.85472,9.47732,5.86187,8.01448,8.09805,8.1043,7.8569,7.08907,4.14956,7.41118,6.8816,4.73342,8.43481,5.91157,6.67024,5.04429,4.72154,8.56606,5.48748,6.71877,9.51807,7.8054,8.89229,4.65433,3.46595,9.863,6.02588,4.86135,6.85743,8.674,5.71075,9.53177,3.66306,10.95852,6.46722,5.42825,6.28581,2.99095,10.57181,5.41503,9.46156,9.15484,10.09275,9.74835,6.84196,10.12972,8.56402,11.17294,5.17978,8.68455,7.97004,5.95758,4.62548,3.37005,3.55774,6.47037,2.6801,7.56622,4.2026,4.42105,5.84877,7.41261,6.94224,12.21777,6.03476,6.6258,11.20223,1.09345,5.12006,8.84941,9.72257,4.78097,3.70128,5.09544,3.90343,8.05726,4.90859,7.19625,3.99116,2.95368,2.43443,2.60023,5.26702,10.21934
